Source,Target,Type,ID,Label,timeset,weight
"We have: 11 0's, 32 1's, 21 2's, 22 3's, 5 4's, 13 5's.","We have: 10 0's, 23 1's, 12 2's, 15 3's, 4 4's, 11 5's.",Directed,157,,,7
"We have: 11 0's, 32 1's, 22 2's, 14 3's, 11 4's, 12 5's.","We have: 10 0's, 21 1's, 13 2's, 12 3's, 5 4's, 11 5's.",Directed,158,,,3
"We have: 11 0's, 33 1's, 20 2's, 20 3's, 14 4's, 12 5's.","We have: 4 0's, 24 1's, 12 2's, 13 3's, 12 4's, 11 5's.",Directed,159,,,2
"We have: 11 0's, 33 1's, 20 2's, 22 3's, 12 4's, 15 5's.","We have: 5 0's, 24 1's, 11 2's, 15 3's, 11 4's, 13 5's.",Directed,160,,,5
"We have: 11 0's, 33 1's, 20 2's, 22 3's, 13 4's, 12 5's.","We have: 5 0's, 24 1's, 11 2's, 14 3's, 12 4's, 11 5's.",Directed,161,,,2
"We have: 11 0's, 33 1's, 24 2's, 20 3's, 13 4's, 11 5's.","We have: 5 0's, 23 1's, 21 2's, 12 3's, 11 4's, 10 5's.",Directed,162,,,1
"We have: 11 0's, 33 1's, 25 2's, 23 3's, 12 4's, 20 5's.","We have: 5 0's, 25 1's, 20 2's, 15 3's, 11 4's, 14 5's.",Directed,163,,,1
"We have: 11 0's, 34 1's, 11 2's, 12 3's, 10 4's, 11 5's.","We have: 5 0's, 21 1's, 5 2's, 10 3's, 4 4's, 10 5's.",Directed,164,,,9
"We have: 11 0's, 34 1's, 11 2's, 15 3's, 12 4's, 14 5's.","We have: 10 0's, 22 1's, 5 2's, 13 3's, 5 4's, 12 5's.",Directed,165,,,1
"We have: 11 0's, 34 1's, 14 2's, 15 3's, 20 4's, 15 5's.","We have: 5 0's, 24 1's, 12 2's, 13 3's, 13 4's, 12 5's.",Directed,166,,,12
"We have: 11 0's, 34 1's, 14 2's, 20 3's, 15 4's, 13 5's.","We have: 5 0's, 24 1's, 12 2's, 13 3's, 12 4's, 11 5's.",Directed,167,,,8
"We have: 11 0's, 34 1's, 15 2's, 15 3's, 13 4's, 13 5's.","We have: 10 0's, 23 1's, 14 2's, 11 3's, 11 4's, 10 5's.",Directed,168,,,7
"We have: 11 0's, 34 1's, 15 2's, 20 3's, 14 4's, 13 5's.","We have: 5 0's, 24 1's, 13 2's, 13 3's, 11 4's, 11 5's.",Directed,169,,,1
