Source,Target,Type,ID,Label,timeset,Weight
"We have: 101101010 0's, 110110101 1's.","We have: 101100010 0's, 110101001 1's.",Directed,206,,,1
"We have: 101101011 0's, 110110100 1's.","We have: 101100011 0's, 110101000 1's.",Directed,207,,,1
"We have: 1011011 0's, 1010000 1's.","We have: 1010011 0's, 1001000 1's.",Directed,208,,,6
"We have: 1011011 0's, 1101110 1's.","We have: 1010110 0's, 1100011 1's.",Directed,209,,,90
"We have: 10110110 0's, 11100100 1's.","We have: 10101110 0's, 11011010 1's.",Directed,210,,,3
"We have: 10110111 0's, 11010011 1's.","We have: 10110001 0's, 11000111 1's.",Directed,211,,,1
"We have: 10110111 0's, 11100011 1's.","We have: 10110001 0's, 11010111 1's.",Directed,212,,,1
"We have: 101101110 0's, 111000101 1's.","We have: 101100110 0's, 110111001 1's.",Directed,213,,,6
"We have: 101101111 0's, 111000100 1's.","We have: 101100111 0's, 110111000 1's.",Directed,214,,,9
"We have: 1011100 0's, 1011110 1's.","We have: 1010110 0's, 1010100 1's.",Directed,215,,,2
"We have: 1011100 0's, 1101101 1's.","We have: 1010110 0's, 1100011 1's.",Directed,216,,,2
"We have: 10111000 0's, 11010010 1's.","We have: 10101111 0's, 11001001 1's.",Directed,217,,,1
"We have: 10111000 0's, 11100010 1's.","We have: 10101111 0's, 11011001 1's.",Directed,218,,,1
"We have: 101110000 0's, 111000011 1's.","We have: 101100110 0's, 110111001 1's.",Directed,219,,,1
"We have: 101110001 0's, 111000010 1's.","We have: 101100111 0's, 110111000 1's.",Directed,220,,,7
"We have: 10111001 0's, 11010001 1's.","We have: 10110001 0's, 11000111 1's.",Directed,221,,,31
"We have: 10111001 0's, 11100001 1's.","We have: 10110001 0's, 11010111 1's.",Directed,222,,,109
"We have: 10111001 0's, 11110011 1's.","We have: 10110011 0's, 11100111 1's.",Directed,223,,,1
"We have: 101110011 0's, 111000000 1's.","We have: 101101001 0's, 110110110 1's.",Directed,224,,,6
"We have: 1011101 0's, 1101100 1's.","We have: 1010111 0's, 1100010 1's.",Directed,225,,,3
"We have: 1011101 0's, 1111010 1's.","We have: 1011000 0's, 1101111 1's.",Directed,226,,,1
"We have: 10111010 0's, 11010000 1's.","We have: 10110001 0's, 11000111 1's.",Directed,227,,,15
"We have: 10111010 0's, 11100000 1's.","We have: 10110001 0's, 11010111 1's.",Directed,228,,,27
"We have: 10111010 0's, 11110010 1's.","We have: 10110011 0's, 11100111 1's.",Directed,229,,,19
"We have: 10111011 0's, 11110001 1's.","We have: 10110101 0's, 11100101 1's.",Directed,230,,,1
"We have: 101110110 0's, 111010001 1's.","We have: 101101110 0's, 111000101 1's.",Directed,231,,,5
"We have: 101110111 0's, 111010000 1's.","We have: 101101111 0's, 111000100 1's.",Directed,232,,,8
"We have: 101111 0's, 111100 1's.","We have: 101011 0's, 110010 1's.",Directed,233,,,2
"We have: 1011110 0's, 1101011 1's.","We have: 1011001 0's, 1100000 1's.",Directed,234,,,2
"We have: 1011110 0's, 1111011 1's.","We have: 1011010 0's, 1101111 1's.",Directed,235,,,1
"We have: 101111000 0's, 111001111 1's.","We have: 101110001 0's, 111000010 1's.",Directed,236,,,6
"We have: 10111101 0's, 11011111 1's.","We have: 10111001 0's, 11010001 1's.",Directed,237,,,17
"We have: 10111101 0's, 11101111 1's.","We have: 10111001 0's, 11100001 1's.",Directed,238,,,11
"We have: 101111010 0's, 111001101 1's.","We have: 101110011 0's, 111000000 1's.",Directed,239,,,5
